Date,Price,Open,High,Low,Chg%
2011-08-25,1759.8,1748.4,1772.5,1707.3,0.0032
2011-08-26,1794.1,1768.5,1829.3,1768.5,0.0195
2011-08-29,1788.4,1817.9,1817.9,1786.7,-0.0032
2011-08-30,1826.7,1787.2,1839.6,1783.1,0.0214
2011-08-31,1828.5,1830.6,1837.9,1811.4,0.001
2011-09-01,1826,1825.8,1829.5,1814.1,-0.0014
2011-09-02,1873.7,1828.6,1884.2,1828.6,0.0261
2011-09-06,1869.9,1886.3,1911.6,1864,-0.002
2011-09-07,1814.2,1868.9,1873.7,1792.8,-0.0298
2011-09-08,1854.4,1839.3,1870,1835,0.0222
2011-09-09,1856.4,1858.1,1881.3,1830,0.0011
2011-09-12,1809.9,1852.4,1852.4,1806,-0.025
2011-09-13,1826.8,1817.8,1835.3,1808.1,0.0093
2011-09-14,1823.5,1843,1843,1809,-0.0018
2011-09-15,1778.5,1816.3,1816.3,1775.8,-0.0247
2011-09-16,1812.1,1768.5,1819.1,1768.5,0.0189
2011-09-19,1776.4,1814.7,1818.9,1781.8,-0.0197
2011-09-20,1806.6,1778.8,1807.8,1776,0.017
2011-09-21,1805.5,1808,1812,1782.8,-0.0006
2011-09-22,1739.2,1773.2,1773.2,1730.9,-0.0367
2011-09-23,1637.5,1737.3,1737.3,1636.3,-0.0585
2011-09-26,1592.5,1646.4,1661.8,1562.4,-0.0275
2011-09-27,1650.6,1653.8,1665.4,1653.7,0.0365
2011-09-28,1616.3,1650,1650,1650,-0.0208
2011-09-29,1615.5,1604,1633.8,1585,-0.0005
2011-09-30,1620.4,1620.8,1639.4,1609.4,0.003
2011-10-03,1656,1627.8,1660.8,1627.6,0.022
2011-10-04,1614.7,1661,1678.1,1596.6,-0.0249
2011-10-05,1640.3,1629.3,1644.7,1599.6,0.0159
2011-10-06,1651.9,1642.6,1654.7,1637.6,0.0071
2011-10-07,1634.5,1657,1665,1626.2,-0.0105
2011-10-10,1669.6,1645.6,1676.8,1645.6,0.0215
2011-10-11,1659.7,1685,1685,1657.6,-0.0059
